event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation
20240521_133903_tesoura,2024-05-21,tesoura,2024-05-21T16:39:03Z,2024-05-21T16:39:03Z,cooperative,7,1,3,1,NA,1,13,NA,FALSE,0,TRUE,1,1,FALSE,NA,NA,NA,NA,NA
20240521_134130_tesoura,2024-05-21,tesoura,2024-05-21T16:41:30Z,2024-05-21T16:41:30Z,cooperative,7,1,3,1,NA,3,14,89,TRUE,1,FALSE,0,0,FALSE,NA,off,7D_LAG,4004,NA
20240521_134227_tesoura,2024-05-21,tesoura,2024-05-21T16:42:27Z,2024-05-21T16:42:27Z,cooperative,7,1,3,1,NA,2,14,6;20,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_134254_tesoura,2024-05-21,tesoura,2024-05-21T16:42:54Z,2024-05-21T16:42:54Z,cooperative,7,1,3,1,NA,1,17,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_134309_tesoura,2024-05-21,tesoura,2024-05-21T16:43:09Z,2024-05-21T16:43:09Z,cooperative,7,1,3,1,NA,1,17,NA,TRUE,1,FALSE,0,0,FALSE,NA,off,7D_LAG,4014,NA
20240521_134320_tesoura,2024-05-21,tesoura,2024-05-21T16:43:20Z,2024-05-21T16:43:20Z,cooperative,7,1,3,1,NA,1,17,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_134333_tesoura,2024-05-21,tesoura,2024-05-21T16:43:33Z,2024-05-21T16:43:33Z,cooperative,7,1,3,1,NA,1,17,4;2;23,FALSE,0,TRUE,1,57,FALSE,NA,NA,NA,NA,NA
20240521_134436_tesoura,2024-05-21,tesoura,2024-05-21T16:44:36Z,2024-05-21T16:44:36Z,cooperative,7,1,3,1,NA,2,16,23,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_134522_tesoura,2024-05-21,tesoura,2024-05-21T16:45:22Z,2024-05-21T16:45:22Z,cooperative,7,1,3,1,NA,3,16,NA,TRUE,1,TRUE,1,1,FALSE,NA,off,7D_LAG,4019,NA
20240521_134908_quarto,2024-05-21,quarto,2024-05-21T16:49:08Z,2024-05-21T16:49:08Z,cooperative,7,1,2,1,NA,2,5,14,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_140132_tesoura,2024-05-21,tesoura,2024-05-21T17:01:32Z,2024-05-21T17:01:32Z,cooperative,NA,1,2,1,NA,4,21,4,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_141818_quarto,2024-05-21,quarto,2024-05-21T17:18:18Z,2024-05-21T17:18:18Z,cooperative,NA,1,3,1,NA,4,8,6,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_142609_tesoura,2024-05-21,tesoura,2024-05-21T17:26:09Z,2024-05-21T17:26:09Z,cooperative,NA,1,1,1,NA,4,19,NA,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_142634_tesoura,2024-05-21,tesoura,2024-05-21T17:26:34Z,2024-05-21T17:26:34Z,cooperative,NA,1,1,1,NA,2,19,14,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA
20240521_142706_tesoura,2024-05-21,tesoura,2024-05-21T17:27:06Z,2024-05-21T17:27:06Z,cooperative,NA,1,1,1,NA,2,19,NA,FALSE,0,TRUE,1,2,FALSE,NA,NA,NA,NA,NA
20240521_142808_tesoura,2024-05-21,tesoura,2024-05-21T17:28:08Z,2024-05-21T17:28:08Z,cooperative,NA,1,1,1,NA,2,19,NA,FALSE,0,TRUE,1,1,FALSE,NA,NA,NA,NA,NA
