event_id,date,site,event_datetime_utc,event_datetime_local,treatment,event_interaction,n_dolphins,n_dolphins_in_area,n_dolphins_interacting,dolphin_photoid,n_fishers_nets,n_fishers_line,fishers_number_tags,buzz_occurred,n_buzzes,fisher_success,n_nets_with_fish,n_fish_total,has_drone,event_number_in_drone,hydrophone_track_on_off,camera_photo,photoid_number,observation
20240531_113903_tesoura,2024-05-31,tesoura,2024-05-31T14:39:03Z,2024-05-31T14:39:03Z,non_cooperative,NA,0,1,0,NA,1,5,NA,FALSE,0,FALSE,0,0,TRUE,off,off: 11:30:27,NA,NA,NA
20240531_114543_tesoura,2024-05-31,tesoura,2024-05-31T14:45:43Z,2024-05-31T14:45:43Z,non_cooperative,NA,0,0,0,NA,1,3,97,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_115012_quarto,2024-05-31,quarto,2024-05-31T14:50:12Z,2024-05-31T14:50:12Z,non_cooperative,NA,0,0,0,NA,1,1,NA,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_120201_tesoura,2024-05-31,tesoura,2024-05-31T15:02:01Z,2024-05-31T15:02:01Z,cooperative,NA,1,1,1,NA,2,4,23;4,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_120540_tesoura,2024-05-31,tesoura,2024-05-31T15:05:40Z,2024-05-31T15:05:40Z,non_cooperative,NA,0,1,0,NA,1,8,23,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_120554_tesoura,2024-05-31,tesoura,2024-05-31T15:05:54Z,2024-05-31T15:05:54Z,non_cooperative,NA,0,1,0,NA,1,8,NA,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_120659_tesoura,2024-05-31,tesoura,2024-05-31T15:06:59Z,2024-05-31T15:06:59Z,cooperative,NA,1,1,1,NA,2,8,NA,FALSE,0,TRUE,1,1,TRUE,off,off,NA,NA,NA
20240531_121101_tesoura,2024-05-31,tesoura,2024-05-31T15:11:01Z,2024-05-31T15:11:01Z,non_cooperative,NA,0,1,0,NA,2,8,9;97,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_121420_tesoura,2024-05-31,tesoura,2024-05-31T15:14:20Z,2024-05-31T15:14:20Z,non_cooperative,NA,0,1,0,NA,2,8,23;97,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_121516_tesoura,2024-05-31,tesoura,2024-05-31T15:15:16Z,2024-05-31T15:15:16Z,non_cooperative,NA,0,1,0,NA,1,8,NA,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_121531_tesoura,2024-05-31,tesoura,2024-05-31T15:15:31Z,2024-05-31T15:15:31Z,non_cooperative,NA,0,1,0,NA,1,8,89,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_121623_tesoura,2024-05-31,tesoura,2024-05-31T15:16:23Z,2024-05-31T15:16:23Z,cooperative,NA,1,1,1,JH,2,3,NA,FALSE,0,FALSE,0,0,TRUE,off,off,6D,NA,NA
20240531_122128_tesoura,2024-05-31,tesoura,2024-05-31T15:21:28Z,2024-05-31T15:21:28Z,non_cooperative,NA,0,1,0,NA,1,10,89,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_122135_tesoura,2024-05-31,tesoura,2024-05-31T15:21:35Z,2024-05-31T15:21:35Z,non_cooperative,NA,0,1,0,NA,1,10,23,FALSE,0,FALSE,0,0,TRUE,off,off,NA,NA,NA
20240531_122205_tesoura,2024-05-31,tesoura,2024-05-31T15:22:05Z,2024-05-31T15:22:05Z,non_cooperative,4,0,1,0,NA,1,10,NA,FALSE,0,FALSE,0,0,TRUE,on: 12:21:53,on 182:12:21:36,NA,NA,NA
20240531_122403_tesoura,2024-05-31,tesoura,2024-05-31T15:24:03Z,2024-05-31T15:24:03Z,non_cooperative,4,0,1,0,NA,1,10,97,FALSE,0,FALSE,0,0,TRUE,off,on,NA,NA,NA
