FrameIndex,FrameID,ObjectID,CenterX_px,CenterY_px,Width_px,Height_px,EstAltitude_m,GSD_cmpx,CenterX_m,CenterY_m,Width_m,Height_m,IndividualCount,Distances_px,MaxDistance_px,Distances_m,MaxDistance_m,Angle_deg,AngleXVal,AngleYVal,FilteredAngle_deg,FilteredAngleXVal,FilteredAngleYVal,NeighborFrameObjsPlusMinus25Deg_count,NeighborsConsideredForAngleFiltering,NeighborWindowStart,NeighborWindowEnd,ObjectGroupLength,MovingAvgAngleXVal,MovingAvgAngleYVal,MovingAvgAngle_deg,Angles_deg
175,E16_SB02_14fev25_(1)_corte_106_000176,106,1413.5032081604004,2021.6643834114075,233.29410552978516,133.14180850982666,25.0,0.8425236904310238,11.909099393753923,17.033001371247394,1.965558107467593,1.1217512785635986,6,"{3: 976.6700019562588, 81: 1861.9879868239673, 97: 1567.423607951031, 92: 409.6956621125874, 105: 1470.0481077343497}",2177.998503750327,"{3: 8.228676143814626, 81: 15.687689901971615, 97: 13.205915226396131, 92: 3.451783011966788, 105: 12.385503568394878}",18.350153371329736,166.09886,-127.72172,31.610634,166.09886,-127.72172,31.610634,0,1,0,1,1,-127.72172,31.610634,166.09885707483514,"{3: -91.44824407225327, 81: -0.34848268071661437, 97: -91.5206947014553, 92: 49.1233080366456, 105: 111.14572521669606}"
176,E16_SB02_14fev25_(1)_corte_106_000177,3,1719.3476486206055,1094.492393732071,168.13247680664062,246.8865466117859,25.0,0.8425236904310238,14.485911260497357,9.221357707158296,1.416555948404394,2.080077643691328,5,"{81: 923.1381389606145, 97: 607.5590299110281, 92: 663.6380080292331, 105: 1704.772756777282}",2181.7423405939235,"{81: 7.777657516147242, 97: 5.118828760353321, 92: 5.591307436350828, 105: 14.363114343862659}",18.38169608366812,76.35302,53.080906,218.62556,76.35302,53.080906,218.62556,0,120,116,236,280,57.4823897,208.5582515,74.59083939727866,"{81: 92.07731925036965, 97: 0.21450355977282243, 92: 140.50473291849028, 105: -157.34625710574747}"
176,E16_SB02_14fev25_(1)_corte_106_000177,81,1628.20650100708,175.8644413948059,246.56627655029297,148.72487425804138,25.0,0.8425236904310238,13.718025500122696,1.481699581795424,2.0773792925498924,1.2530422991877501,5,"{3: 923.1381389606145, 97: 592.3556365402346, 92: 1585.2762182008225, 105: 2030.8373377356297}",2181.7423405939235,"{3: 7.777657516147242, 97: 4.990736569454966, 92: 13.356327697110938, 105: 17.110285684541385}",18.38169608366812,161.1622,-161.13841,54.974644,161.1622,-161.13841,54.974644,0,120,0,120,157,-182.70257629999998,43.29628125,166.6681586476483,"{3: -92.07731925036965, 97: -91.86281569059683, 92: 48.42741366812061, 105: 110.57642364388289}"
176,E16_SB02_14fev25_(1)_corte_106_000177,97,2054.1562271118164,587.5099575519562,170.3130340576172,239.4535231590271,25.0,0.8425236904310238,17.306752851881157,4.9499105760164825,1.4349276598272829,2.0174526601865415,5,"{3: 607.5590299110281, 81: 592.3556365402346, 92: 1215.5819718346356, 105: 2181.7423405939235}",2181.7423405939235,"{3: 5.118828760353321, 81: 4.990736569454966, 92: 10.241566089315379, 105: 18.38169608366812}",18.38169608366812,74.27822,51.712017,183.70323,74.27822,51.712017,183.70323,0,116,0,116,116,52.48011085,193.2301125,74.80534295705148,"{3: -0.21450355977282243, 81: 91.86281569059683, 92: 140.29022935871745, 105: -157.5607606655203}"
176,E16_SB02_14fev25_(1)_corte_106_000177,92,1726.47216796875,1758.0921578407288,225.4914093017578,198.74228954315186,25.0,0.8425236904310238,14.545937023834817,14.812342929418127,1.8998185432540948,1.6744508723060738,5,"{3: 663.6380080292331, 81: 1585.2762182008225, 97: 1215.5819718346356, 105: 1699.0609321830896}",2181.7423405939235,"{3: 5.591307436350828, 81: 13.356327697110938, 97: 10.241566089315379, 105: 14.314990868500722}",18.38169608366812,-145.85951,-189.94568,-128.79875,-145.85951,-189.94568,-128.79875,1,120,0,120,142,-166.4388525,-116.95597065,-144.90442768423108,"{3: -140.50473291849028, 81: -48.42741366812061, 97: -140.29022935871745, 105: 62.14900997576227}"
176,E16_SB02_14fev25_(1)_corte_106_000177,105,53.96873474121094,1458.8592767715454,107.93746948242188,268.37084770202637,25.0,0.8425236904310238,0.45469937562058044,12.291235016850969,0.9093987512411609,2.2610879701001347,5,"{3: 1704.772756777282, 81: 2030.8373377356297, 97: 2181.7423405939235, 92: 1699.0609321830896}",2181.7423405939235,"{3: 14.363114343862659, 81: 17.110285684541385, 97: 18.38169608366812, 92: 14.314990868500722}",18.38169608366812,-82.46772,23.68839,-179.15118,-82.46772,23.68839,-179.15118,0,5,0,5,5,23.2209194,-182.66931,-82.75541770846881,"{3: 157.34625710574747, 81: -110.57642364388289, 97: 157.5607606655203, 92: -62.14900997576227}"
177,E16_SB02_14fev25_(1)_corte_106_000178,3,1720.6101036071777,1091.070806980133,169.97211456298828,250.60067653656006,25.0,0.8425236904310238,14.496547742840256,9.192530028184569,1.4320553323197365,2.1113700682009386,5,"{81: 916.1612403726928, 97: 605.5018211385172, 92: 667.9746567403421, 105: 1707.430669336392}",2184.643198761121,"{81: 7.718875492686653, 97: 5.1014962890832924, 92: 5.627844729112693, 105: 14.385507886844103}",18.406136500952563,75.61405,54.578876,212.78732,75.61405,54.578876,212.78732,0,120,117,237,280,57.52831605,207.31211749999997,74.49086988471882,"{81: 93.06914032317403, 97: 0.5614991688496218, 92: 140.48123771038772, 105: -157.24628759318762}"
177,E16_SB02_14fev25_(1)_corte_106_000178,81,1626.9829559326172,179.70623910427094,240.853271484375,142.72624254226685,25.0,0.8425236904310238,13.707716843007244,1.514067637636103,2.029245871434009,1.2025024058806406,5,"{3: 916.1612403726928, 97: 590.6147891070792, 92: 1582.3771661823982, 105: 2029.9567785713523}",2184.643198761121,"{3: 7.718875492686653, 97: 4.976069517416373, 92: 13.331902497057795, 105: 17.102866764974085}",18.406136500952563,168.68137,-218.49846,43.734196,168.68137,-218.49846,43.734196,0,120,0,120,157,-186.7351618,41.193041825,167.56001020789284,"{3: -93.06914032317403, 97: -92.5076411543244, 92: 47.41209738721369, 105: 109.68457208363833}"
177,E16_SB02_14fev25_(1)_corte_106_000178,97,2055.234146118164,586.4331096410751,168.26019287109375,238.22776436805725,25.0,0.8425236904310238,17.315834574873296,4.940837877257398,1.4176319865038973,2.0071253519850796,5,"{3: 605.5018211385172, 81: 590.6147891070792, 92: 1218.143270256125, 105: 2184.643198761121}",2184.643198761121,"{3: 5.1014962890832924, 81: 4.976069517416373, 92: 10.263145635299063, 105: 18.406136500952563}",18.406136500952563,75.43387,49.906803,192.06044,75.43387,49.906803,192.06044,0,116,0,116,116,51.91031829999999,194.44266349999998,75.05236905356844,"{3: -0.5614991688496218, 81: 92.5076411543244, 92: 139.9197385415381, 105: -157.80778676203727}"
177,E16_SB02_14fev25_(1)_corte_106_000178,92,1725.2477073669434,1759.0293645858765,226.56841278076172,197.27291107177734,25.0,0.8425236904310238,14.535620653184601,14.820239118274314,1.908892552711469,1.6620710105826504,5,"{3: 667.9746567403421, 81: 1582.3771661823982, 97: 1218.143270256125, 105: 1697.0489051882062}",2184.643198761121,"{3: 5.627844729112693, 81: 13.331902497057795, 97: 10.263145635299063, 105: 14.298039064410961}",18.406136500952563,-148.1449,-189.54936,-117.778114,-148.1449,-189.54936,-117.778114,2,120,0,120,142,-169.706014,-118.70635140000002,-145.02789240489346,"{3: -140.48123771038772, 81: -47.41209738721369, 97: -139.9197385415381, 105: 62.27247469642465}"
